initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,conv1x1,conv1x1_3x3.0,conv1x1_3x3.1,conv1x1_5x5.0,conv1x1_5x5.1,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,223.63987352735887,943.4500741104031,943.4500757722561,303.72606274810573,303.7260592786312,56.891891891891895,84.04654654654655,88.3933933933934,67.01504354711005,72.8424386381631,78.54315122723673,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,119.07939,544.97723,544.9772,1145.4825,1145.4825,64.38813813813813,87.41741741741741,91.09609609609609,71.79730799683294,74.94853523357087,78.44022169437847,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,66.7510480899111,593.7966003074603,593.7966014361859,1053.2604459560353,1053.2604358192605,64.33183183183183,87.69894894894895,90.46921921921921,71.54394299287411,77.22882026920031,77.74346793349169,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.0,0.0,0.0,0.0,0.0,39.56456456456456,5.585585585585585,2.638888888888889,5.463182897862233,5.463182897862233,5.463182897862233,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.0,0.9646638099726121,0.9646638928657896,-0.06611662538910285,-0.06611663564104876,39.56456456456456,5.585585585585585,2.638888888888889,5.463182897862233,5.463182897862233,5.463182897862233,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.0,0.0,0.0,0.0,0.0,37.88288288288288,0.052552552552552555,0.42792792792792794,3.32541567695962,5.463182897862233,5.463182897862233,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.0,0.008870865457599386,0.008870867546276076,0.22169431950240073,0.22169430325167344,37.88288288288288,0.052552552552552555,0.42792792792792794,3.32541567695962,5.463182897862233,5.463182897862233,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.0,0.0,0.0,0.0,0.0,39.45945945945946,7.327327327327327,30.476726726726728,3.3333333333333335,5.463182897862233,5.463182897862233,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.0,0.0,0.0,6.6359866010876996,6.635986170029277,39.45945945945946,7.327327327327327,30.476726726726728,3.3333333333333335,5.463182897862233,5.463182897862233,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.0,0.0,0.0,0.0,0.0,37.496246246246244,0.9421921921921922,0.42792792792792794,2.137767220902613,5.463182897862233,5.463182897862233,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.0,14.154734574910815,14.154733833324746,0.0,0.0,37.496246246246244,0.9421921921921922,0.42792792792792794,2.137767220902613,5.463182897862233,5.463182897862233,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.0,0.0,0.0,0.0,0.0,39.92492492492492,0.9309309309309309,0.9309309309309309,5.4394299287410925,5.463182897862233,5.463182897862233,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.07830455744787053,0.05846100287212943,0.05846099772428685,0.31446008100776945,0.3144598748872297,39.92492492492492,0.9309309309309309,0.9309309309309309,5.4394299287410925,5.463182897862233,5.463182897862233,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.0,0.0,0.0,0.0,0.0,24.463213213213212,1.0135135135135136,1.7342342342342343,5.225653206650831,5.225653206650831,5.225653206650831,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,10.256196587865084,-0.19793781734614113,-0.19793781309281575,0.0,0.0,24.463213213213212,1.0135135135135136,1.7342342342342343,5.225653206650831,5.225653206650831,5.225653206650831,integrated_gradients,5
