,Unnamed: 0,initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,norm_var_norm_conv1x1,norm_var_norm_conv1x1_3x3,norm_var_norm_conv1x1_5x5,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS,final_test_accuracy,source,train accuracy epoch1,train accuracy epoch2,test accuracy epoch1,test accuracy epoch2
38,4,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.1760329754000758,0.3050978426811644,0.5188691819187597,0.2546026177031951,0.4526684078176273,0.2906250017275943,0.3326320090828056,91.3592222222222,95.524,0.012544,0.909,2.515,13.274,95.524,mnist,,,,
39,5,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.199399021867261,0.3023269547217058,0.4982740234110332,0.2121029938877733,0.4609127346813985,0.3099855054078506,0.3276670779923408,90.03044444444444,94.718,0.012544,0.909,2.515,13.274,94.718,mnist,,,,
40,6,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.2688947783796873,0.2421165353309637,0.4889886862893489,0.3193335510878799,0.7879375527956513,0.4039543862623383,0.5037418300486232,91.61511111111112,92.62533333333334,0.012544,0.909,2.515,13.274,92.62533333333334,mnist,,,,
41,7,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.2252079666997054,0.3086405299461099,0.4661515033541846,0.2129910848994493,0.5564546336795835,0.3994218179063089,0.3896225121617806,90.93866666666666,93.822,0.012544,0.909,2.515,13.274,93.822,mnist,,,,
42,8,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.2503292730447826,0.3375362012200906,0.4121345257351267,0.2388332058082257,0.4657470961854478,0.41945391144849,0.3746780711473878,89.59777777777778,93.33,0.012544,0.909,2.515,13.274,93.33,mnist,,,,
43,9,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.268649430316199,0.2498965307653046,0.4814540389184963,0.2340173853951189,0.6499395279806809,0.360084677117349,0.4146805301643829,91.68311111111112,95.15666666666668,0.012544,0.909,2.515,13.274,95.15666666666668,mnist,,,,
44,10,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.2283602483646248,0.3124066317872278,0.4592331198481474,0.2897474628978268,0.5500369217884528,0.4236822804932972,0.4211555550598589,91.29266666666668,95.22066666666666,0.012544,0.909,2.515,13.274,95.22066666666666,mnist,,,,
45,11,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.2402327264585275,0.3261945467733016,0.4335727267681708,0.2232200010948997,0.5015349293135621,0.4265136859528142,0.3837562054537587,90.13655555555556,94.89866666666668,0.012544,0.909,2.515,13.274,94.89866666666668,mnist,,,,
46,12,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3447239801656171,0.229618459877551,0.4256575599568318,0.2889040857220774,0.8248698822431608,0.4563655821614144,0.5233798500422175,91.09611111111111,92.094,0.012544,0.909,2.515,13.274,92.094,mnist,,,,
47,13,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.2565417841045174,0.3071214417840842,0.4363367741113984,0.2464024059519189,0.5696611388244642,0.4233235935850791,0.4131290461204873,90.68344444444443,92.96,0.012544,0.909,2.515,13.274,92.96,mnist,,,,
48,14,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.2564193679074246,0.3438371698560379,0.3997434622365375,0.226773776678402,0.4537369011909898,0.4404791206442551,0.3736632661712156,89.37122222222223,93.144,0.012544,0.909,2.515,13.274,93.144,mnist,,,,
49,15,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3527061009699179,0.2301414051716342,0.4171524938584478,0.2934240493544209,0.7187091624423411,0.4569859315395725,0.4897063811121115,91.19722222222222,94.74666666666668,0.012544,0.909,2.515,13.274,94.74666666666668,mnist,,,,
